"PLACE_NAME","PLACE_TYPE","LATITUDE","LONGITUDE","COUNT(*)"
"154, Hounsditch","crimeLocation","51.50853","-0.12574","1"
"156, Ratcliffe-highway, St. George's in the East","crimeLocation","51.52332","-0.03888","1"
"159, Upper Thames-street","crimeLocation","51.50853","-0.12574","1"
"16, Headon street, Swallow street","crimeLocation","51.50853","-0.12574","1"
"16, Staining-lane","crimeLocation","51.50853","-0.12574","2"
"160 Fleet Street","crimeLocation","51.50853","-0.12574","1"
"160, in the Minories","crimeLocation","51.50853","-0.12574","1"
"163, White Cross-street","crimeLocation","51.50853","-0.12574","1"
"163, Whitecross street","crimeLocation","51.523797","-0.093448","1"
"17, Bridges-street, Covent-Garden","crimeLocation","51.51424","-0.12471","2"
"17, Brook-street, Holborn","crimeLocation","51.51753","-0.12045","1"
"17, Duke-street, St. James's","crimeLocation","51.514161","-0.151359","2"
"17, St. John-square, Clerkenwell","crimeLocation","51.52438","-0.11022","1"
"170, High Holborn, the corner of Drury-lane","crimeLocation","51.51278","-0.12038","1"
"18, Brittannia-street, Battle-bridge","crimeLocation","51.50853","-0.12574","1"
"18, Chapel-street, St. George in the East","crimeLocation","51.52332","-0.03888","2"
"18, Cranbourn-alley","crimeLocation","51.511227","-0.128839","4"
"18, Red-cross-street","crimeLocation","51.50853","-0.12574","2"
"19, Chamber-street, Goodman's-fields","crimeLocation","51.50853","-0.12574","1"
"19, Denmark street, in the Strand","crimeLocation","51.50853","-0.12574","1"
"19, Hans-place, Chelsea","crimeLocation","51.498089","-0.160584","2"
"19, Marshall-street Carnaby Market","crimeLocation","51.50853","-0.12574","1"
"19, Tottenham-court-road","crimeLocation","51.517547","-0.131606","1"
"193, Ratcliffe Highway","crimeLocation","51.50853","-0.12574","1"
"2, Church-court, Kensington","crimeLocation","51.50094","-0.19175","1"
"2, Lambeth passage","crimeLocation","51.50853","-0.12574","1"
"2, New-court, Peter's-lane","crimeLocation","51.50853","-0.12574","1"
"2, York-street","crimeLocation","51.520719","-0.158014","1"
"20, Carnaby-street, Golden-square","crimeLocation","51.50853","-0.12574","2"
"20, Foster-lane","crimeLocation","51.50853","-0.12574","1"
"20, Montague-street, Bloomsbury","crimeLocation","51.519771","-0.125428","1"
"20, Portman-street, Portman-square","crimeLocation","51.50853","-0.12574","2"
"20, Ratcliffe Highway","crimeLocation","51.50853","-0.12574","1"
"21, Aldgate, High-street","crimeLocation","51.51417","-0.07488","1"
"21, Gracechurch-street","crimeLocation","51.50853","-0.12574","1"
"21, New Quebec-street","crimeLocation","51.515163","-0.158345","1"
"21, New-street, Spring Gardens","crimeLocation","51.50853","-0.12574","2"
"21, Sun-street, Bishopgate-street","crimeLocation","51.50853","-0.12574","1"
"21, on the Pavement of Moorfields","crimeLocation","51.50853","-0.12574","1"
"216, High Holborn","crimeLocation","51.517678","-0.118939","2"
"217, High Holborn","crimeLocation","51.517678","-0.118939","2"
"22, Barbican","crimeLocation","51.520446","-0.360892","1"
"22, Brick-lane, Spitalfields","crimeLocation","51.517936","-0.070915","2"
"22, in Carter-street, Bethnal-green","crimeLocation","51.52718","-0.06109","1"
"23, Blackmoor-street, Clare Market, in the parish of St. Clements Danes","crimeLocation","46.21667","24.7","1"
"23, Compton-street","crimeLocation","51.525001","-0.10153","1"
"23, Crown-street, Moor-fields","crimeLocation","51.50853","-0.12574","1"
"23, Hollis-street","crimeLocation","51.50853","-0.12574","1"
"23, St. John street","crimeLocation","51.531168","-0.106069","1"
"235, Holborn","crimeLocation","51.517934","-0.119528","2"
"24, Holywell-yard","crimeLocation","51.50853","-0.12574","1"
"24, North Audley-street","crimeLocation","51.51336","-0.153882","1"
"24, Shoemaker-row, Blackfriers","crimeLocation","51.50853","-0.12574","1"
"24, West-street, Soho","crimeLocation","51.5144","-0.13535","1"
"24, in the Poultry","crimeLocation","51.50853","-0.12574","2"
"25, Queen-street. Westminster","crimeLocation","51.50685","-0.146991","1"
"253, High Holborn, in the parish of St. Giles in the Fields","crimeLocation","51.50853","-0.12574","1"
"258, Whitechapel, in the parish of St. Mary, Whitechapel","crimeLocation","51.51382","-0.06583","1"
"26, High Holborn","crimeLocation","51.517678","-0.118939","1"
"26, Lower Sloane-street","crimeLocation","51.491275","-0.157499","1"
"268, High Holborn","crimeLocation","51.517723","-0.116796","1"
"27, Oxford-street","crimeLocation","51.516266","-0.13126","1"
"27, Soho square","crimeLocation","51.51477","-0.131669","1"
"271, in the Strand","crimeLocation","51.50853","-0.12574","1"
"28, Sun-street, Bishopsgate without","crimeLocation","51.50853","-0.12574","1"
"286, High Holborn","crimeLocation","51.517678","-0.118939","1"
"29, Cockspur-street, in the parish of St. Martin's","crimeLocation","51.50853","-0.12574","1"
"29, Ludgate-hill, in the parish of St. Martin's, Ludgate","crimeLocation","51.50853","-0.12574","1"
"29, New Bridge-street","crimeLocation","51.486684","-0.124822","1"
"294, High Holborn in the parish of St. Andrew","crimeLocation","51.50853","-0.12574","1"
"294, Holborn","crimeLocation","51.517934","-0.119528","1"
"3 Cranes","crimeLocation","51.398423","-0.298525","2"
"3, Bishopsgate-street","crimeLocation","51.50853","-0.12574","1"
"3, Bury-street","crimeLocation","51.630447","-0.057018","2"
"3, Crown-street, Finsbury-square","crimeLocation","51.50853","-0.12574","1"
"3, Gracechurch-street","crimeLocation","51.50853","-0.12574","1"
"306, High Holborn","crimeLocation","51.518042","-0.114328","2"
"31, Oxford-street","crimeLocation","51.513515","-0.157743","1"
"31, Playhouse-yard, White cross-street","crimeLocation","51.50853","-0.12574","3"
"316, High Holborn","crimeLocation","51.517678","-0.118939","1"
"316, Holborn","crimeLocation","51.517934","-0.119528","2"
"32, Castle-street, Leicester-fields","crimeLocation","51.50853","-0.12574","1"
"32, Soho-square","crimeLocation","51.51544","-0.131613","1"
"33, Vere-street, Clare-market","crimeLocation","51.50853","-0.12574","1"
"34, Fenchurch-street","crimeLocation","51.51167","-0.07881","1"
"34, Ironmonger-lane","crimeLocation","51.50853","-0.12574","1"
"35, Rosemary-lane","crimeLocation","51.468397","-0.269985","1"
"35, in Cateaton-street","crimeLocation","51.50853","-0.12574","1"
"35. Seymour-street","crimeLocation","51.51424","-0.161349","1"
"36, Peter-street, Westminster","crimeLocation","51.512788","-0.134171","2"
"36, St. Paul's Church-yard","crimeLocation","51.50853","-0.12574","2"
"362, Armitage-street, Wapping","crimeLocation","51.50506","-0.05682","1"
"37 Upper Berkley Street, Marybone","crimeLocation","51.50853","-0.12574","1"
"37, Beech street","crimeLocation","51.580931","0.170602","1"
"37, Poultry","crimeLocation","51.50853","-0.12574","1"
"37, Sloane-square, Chelsea","crimeLocation","51.492922","-0.156611","2"
"38 Stanhope-street, Clare-market","crimeLocation","51.50853","-0.12574","2"
"38, Alfred-place","crimeLocation","51.519703","-0.132077","2"
"39 Oxford-street","crimeLocation","51.513515","-0.157743","1"
"4 Swan-Inn in Bishopsgate-Street","crimeLocation","51.50853","-0.12574","1"
"4 swans in Bishops-gate-street","crimeLocation","51.50853","-0.12574","2"
"4, East Smithfield","crimeLocation","51.508733","-0.072803","1"
"4, King-street, St. James's square, in the parish of St. James's","crimeLocation","51.5073","-0.13982","1"
"4, Middle Scotland yard, near Whitehall","crimeLocation","51.469645","-0.071129","1"
"40, Cornhill","crimeLocation","51.671824","-0.032728","2"
"400, in the Strand","crimeLocation","51.50853","-0.12574","1"
"41, Beach-street","crimeLocation","51.50853","-0.12574","1"
"42, Bread-street, Cheapside","crimeLocation","51.51409","-0.09394","1"
"42, Duke-street, Mary-le-bone","crimeLocation","51.52541","-0.16806","2"
"42, Fish-street-hill","crimeLocation","51.50853","-0.12574","2"
"42, Rosemary-lane, in the parish of St. Mary, Whitechapel","crimeLocation","51.51382","-0.06583","1"
"42, Whitcomb-street","crimeLocation","51.510048","-0.131225","1"
"42, Whitechapel-road","crimeLocation","51.519211","-0.059519","1"
"420 in the Strand","crimeLocation","51.511363","-0.119225","1"
"43, Aldersgate-street","crimeLocation","51.51859","-0.09705","1"
"43, Fort-street, Westminster","crimeLocation","51.5","-0.11667","1"
"43, Marylebone-lane","crimeLocation","51.518079","-0.150962","2"
"43, in the Minories","crimeLocation","51.50853","-0.12574","1"
"44, Duke Street, Manchester Square","crimeLocation","51.50853","-0.12574","2"
"44, Evesham buildings","crimeLocation","51.50853","-0.12574","3"
"46, Cannon-street","crimeLocation","51.5107","-0.09057","1"
"47, Baker-street, in the parish of Marybone","crimeLocation","51.50853","-0.12574","2"
"47, High Holborn","crimeLocation","51.517678","-0.118939","2"
"47, Saffron-hill","crimeLocation","51.520831","-0.107168","2"
"47, Swallow-street","crimeLocation","51.516737","0.05191","1"
"47, Upper Marylebone-street","crimeLocation","51.50853","-0.12574","2"
"48, Red-lion-street","crimeLocation","51.459488","-0.306197","2"
"48, Skinner-street, Snow-hill","crimeLocation","51.50853","-0.12574","2"
"48, Skinner-street, St. Sepulchre's","crimeLocation","51.50853","-0.12574","1"
"48, Upper Berkley-street, Edgeware-road, in the parish of St. Mary-le-bone","crimeLocation","18.31667","-76.9","1"
"49, Baker-Street","crimeLocation","51.524259","-0.158474","1"
"49, Basinghall-street","crimeLocation","51.51593","-0.09111","2"
"5, New Inn","crimeLocation","51.50853","-0.12574","1"
"50, Bateman's-buildings, Soho","crimeLocation","51.514119","-0.131428","1"
"50, Broad-street, Ratcliffe-cross","crimeLocation","51.50853","-0.12574","2"
"50, Shoreditch","crimeLocation","51.526669","-0.079893","1"
"51, Baldwin's-gardens, in the parish of St. Andrews","crimeLocation","51.50853","-0.12574","1"
"51, Barbican","crimeLocation","51.520446","-0.360892","1"
"51, Great Portman-street, in the parish of Mary-le-bone","crimeLocation","51.52541","-0.16806","1"
"54, Holywell-street","crimeLocation","51.50853","-0.12574","1"
"55, Lambeth-street, Goodman's fields","crimeLocation","51.50853","-0.12574","1"
"55, Lincoln's-Inn Fields","crimeLocation","51.515502","-0.118461","1"
"56, Lothbury","crimeLocation","51.50853","-0.12574","1"
"57, Bartholomew-close","crimeLocation","51.460116","-0.182665","1"
"58, Carey street, Lincoln's inn fields","crimeLocation","51.50853","-0.12574","1"
"59, Margaret street","crimeLocation","51.516404","-0.142646","1"
"6, Blue Anchor yard, Whitechapel","crimeLocation","51.51382","-0.06583","1"
"6, Elbow lane","crimeLocation","51.50853","-0.12574","1"
"6, Evans-court, Basinghall-street, Cripplegate","crimeLocation","51.50853","-0.12574","1"
"6. Crown-street, Finsbury-square, in the parish of Shoreditch","crimeLocation","51.52509","-0.07695","1"
"60, Broad-street, St. Giles's","crimeLocation","51.50853","-0.12574","3"
"60, Wapping-wall, Shadwell","crimeLocation","51.506436","-0.053065","1"
"63, Bishopsgate-without","crimeLocation","51.50853","-0.12574","2"
"63, Gracechurch-street","crimeLocation","51.50853","-0.12574","1"
"64, Broad-street, St. Giles's, in the parish of St. Giles's in the Fields","crimeLocation","","","1"
"64, Holborn-hill, in the parish of St. Andrew's, Holborn","crimeLocation","51.51753","-0.12045","2"
"64, Turnmill-street","crimeLocation","51.521764","-0.105709","3"
"65, Leather lane, Holborn","crimeLocation","51.520501","-0.109557","1"
"67, Hoxton","crimeLocation","51.532393","-0.086078","1"
"67, Paternoster-row","crimeLocation","51.622831","0.214838","1"
"7 Dials","crimeLocation","51.513757","-0.127003","3"
"7, Houndsditch","crimeLocation","51.50853","-0.12574","1"
"70. West Smithfield","crimeLocation","51.50853","-0.12574","1"
"72 Oxford Street","crimeLocation","51.513515","-0.157743","1"
"77, Bunhill-row","crimeLocation","51.524519","-0.090475","1"
"78, Chiswell-street","crimeLocation","51.520606","-0.08863","1"
"8, Fleet street","crimeLocation","51.50853","-0.12574","1"
"8, Grace's buildings. in Whitechapel","crimeLocation","51.51382","-0.06583","1"
"8, Russell-street, Covent Garden","crimeLocation","51.512699","-0.121075","1"
"8, Union-court, Broad-street","crimeLocation","51.50853","-0.12574","2"
"82, Fore-street","crimeLocation","51.621427","-0.061775","2"
"82, Jermyn street","crimeLocation","51.508896","-0.135256","1"
"86, Bishopsgate-street","crimeLocation","51.50853","-0.12574","1"
"9, Hare-court, Aldgersgate-street","crimeLocation","51.50853","-0.12574","1"
"9, Worship-street, Shoreditch","crimeLocation","51.521985","-0.081137","1"
"9, in Clement's-lane","crimeLocation","51.51175","-0.08677","1"
"9. Commercial-road","crimeLocation","51.514935","-0.067657","1"
"9. Hungerford-court, Charing-cross","crimeLocation","51.50848","-0.12493","2"
"93, Drury-lane","crimeLocation","51.514507","-0.121907","1"
"99, St. John-street, Smithfield","crimeLocation","51.50853","-0.12574","1"
"Abbey-place","crimeLocation","51.50853","-0.12574","1"
"Abchurch lane","crimeLocation","51.51165","-0.08812","2"
"Abchurch-lane","crimeLocation","51.51165","-0.08812","6"
"Abchurch-yard","crimeLocation","51.51152","-0.08839","2"
"Aberdeen-place, Maida-hill","crimeLocation","51.5274","-0.1899","2"
"Abingdon-street","crimeLocation","51.497648","-0.125703","1"
"Acton","crimeLocation","51.50814","-0.273261","18"
"Acton","defendantHome","51.50814","-0.273261","6"
"Acton Green","crimeLocation","51.496375","-0.26399","2"
"Acton-place, Kingsland-road","crimeLocation","51.50853","-0.12574","1"
"Adam and Eve at Hoxton","crimeLocation","51.53544","-0.08841","2"
"Adam and Eve court","crimeLocation","51.515971","-0.137379","1"
"Adam and Eve public-house, Church-street, Bethnal-green","crimeLocation","51.52718","-0.06109","2"
"Adam and Eve public-house, at Kensington","crimeLocation","51.50094","-0.19175","1"
"Adam and Eve-court","crimeLocation","51.515785","-0.137309","1"
"Adam and Eve-court, Oxford road","crimeLocation","51.50853","-0.12574","2"
"Adam and Eve-court, in Oxford-street","crimeLocation","51.51475","-0.14608","2"
"Adam street, Adelphi","crimeLocation","51.50853","-0.12574","1"
"Adam's Arms public-house, in Southampton-street","crimeLocation","51.50853","-0.12574","1"
"Adam's-court, Broad-street","crimeLocation","51.50853","-0.12574","1"
"Adam-and-Eve-court, Whitecross-street","crimeLocation","51.50853","-0.12574","1"
"Adam-street West, St. Mary-le-bone","crimeLocation","51.52541","-0.16806","1"
"Adam-street, Adelphi","crimeLocation","51.50853","-0.12574","4"
"Adam-street, West, Edgeware-road","crimeLocation","51.50853","-0.12574","2"
"Adams-mews, Grosvenor-square","crimeLocation","51.50853","-0.12574","1"
"Addington in Buckinghamshire","crimeLocation","51.50853","-0.12574","2"
"Addison-road, Kensington","crimeLocation","51.501499","-0.208492","2"
"Addle-street","crimeLocation","51.50853","-0.12574","3"
"Adelphi","crimeLocation","51.50909","-0.122201","1"
"Adelphi-wharf","crimeLocation","51.50853","-0.12574","1"
"Admiralty","crimeLocation","51.507275","-0.128886","1"
"Admiralty Office","crimeLocation","51.50853","-0.12574","1"
"Africa, called Calabar","crimeLocation","51.50853","-0.12574","1"
"Air-street","crimeLocation","51.509471","-0.135896","1"
"Air-street, Piccadilly","crimeLocation","51.50853","-0.12574","8"
"Albany","crimeLocation","51.509099","-0.138652","2"
"Albany-chambers","crimeLocation","51.50853","-0.12574","2"
"Albany-street, New-road","crimeLocation","51.50853","-0.12574","1"
"Albany-street, Regent's-park","crimeLocation","51.50853","-0.12574","2"
"Albemarle-Street","crimeLocation","","","1"
"Albemarle-street","crimeLocation","51.508955","-0.141808","5"
"Albemarle-street Clerkenwell","crimeLocation","51.52438","-0.11022","4"
"Albemarle-street, Piccadilly","crimeLocation","51.50853","-0.12574","3"
"Albermarle-street","crimeLocation","51.50853","-0.12574","1"
"Albermarle-street, at the Alfred tavern","crimeLocation","51.50853","-0.12574","2"
"Albion-street, Commercial-road","crimeLocation","51.50853","-0.12574","1"
"Albion-street, St. George's","crimeLocation","51.50853","-0.12574","1"
"Albion-terrace, Old Brentford","crimeLocation","51.48619","-0.3083","1"
"Alderigate-street","crimeLocation","51.50853","-0.12574","1"
"Alderman's Walk","crimeLocation","51.51687","-0.08179","1"
"Alderman's Wharf, on the Middlesex side","crimeLocation","51.50853","-0.12574","1"
"Alderman's-walk, near Bishopsgate","crimeLocation","51.51635","-0.08144","1"
"Aldermanbury","crimeLocation","51.51625","-0.09299","9"
"Aldermanbury","defendantHome","51.51625","-0.09299","3"
"Aldermarston farm in Berks","crimeLocation","51.50853","-0.12574","1"
"Aldersgate","crimeLocation","51.50853","-0.12574","1"
"Aldersgate","defendantHome","51.50853","-0.12574","9"
"Aldersgate street","crimeLocation","51.51859","-0.09705","61"
"Aldersgate street","defendantHome","51.51859","-0.09705","1"
"Aldersgate-street Buildings","crimeLocation","51.50853","-0.12574","1"
"Aldersgate-street, No. 113","crimeLocation","51.50853","-0.12574","1"
"Aldersgate-street, at the Aldersgate coffee-house","crimeLocation","51.50853","-0.12574","1"
"Aldersgate-street, at the corner of Long-lane","crimeLocation","51.50853","-0.12574","1"
"Aldgate","crimeLocation","51.514055","-0.073585","59"
"Aldgate","defendantHome","51.514055","-0.073585","40"
"Aldgate Church","crimeLocation","51.50853","-0.12574","4"
"Aldgate High Street","crimeLocation","51.51417","-0.07488","19"
"Aldgate High street, Whitechapel","crimeLocation","51.51382","-0.06583","1"
"Aldgate Street","crimeLocation","51.50853","-0.12574","3"
"Aldgate church","crimeLocation","","","1"
"Aldgate pump","crimeLocation","51.50853","-0.12574","1"
"Aldgate-pump","crimeLocation","51.50853","-0.12574","1"
"Alehouse in Bear Lane","crimeLocation","51.50853","-0.12574","1"
"Alehouse in White-chapel","crimeLocation","51.50853","-0.12574","2"
"Alford-place, Goswell-street - road","crimeLocation","51.50853","-0.12574","2"
"Alfred Club-house, Albemarle-street","crimeLocation","51.50853","-0.12574","1"
"Alhallows Staining","defendantHome","51.50853","-0.12574","2"
"Alhallows in the Wall","defendantHome","51.50853","-0.12574","4"
"Alhallows on the Wall","defendantHome","51.50853","-0.12574","2"
"Alhallows the Great","defendantHome","51.50853","-0.12574","5"
"Alhallows the Less","defendantHome","51.50853","-0.12574","3"
"Alhallows, Lombard street","defendantHome","51.50853","-0.12574","1"
"Alhallows, Lombard-Street","defendantHome","51.50853","-0.12574","1"
"Alhallows, Lombard-street","defendantHome","","","3"
"Alhollows Barkin","crimeLocation","51.50853","-0.12574","1"
"All Hallows","defendantHome","51.454188","-0.333922","2"
"All Hallows Barkin","defendantHome","51.50853","-0.12574","7"
"All Hallows Lombard Street","defendantHome","51.50853","-0.12574","6"
"All Hallows London Bridge","defendantHome","51.50821","-0.08763","1"
"All Hallows London-Wall","defendantHome","51.50853","-0.12574","1"
"All Hallows Staining","defendantHome","51.5116","-0.0805","1"
"All Saints, Poplar","crimeLocation","51.510716","-0.013071","4"
"All-Saints, London-Wall","defendantHome","51.50853","-0.12574","2"
"All-hallows Honey Lane","defendantHome","51.50853","-0.12574","2"
"All-hallows, London Wall","defendantHome","51.50853","-0.12574","2"
"Allhallow's Barkin","defendantHome","51.50853","-0.12574","3"
"Allhallow's Lombardstreet","defendantHome","51.50853","-0.12574","1"
"Allhallow's in the Wall","defendantHome","51.50853","-0.12574","1"
"Allhallows","defendantHome","51.514225","0.046101","1"
"Allhallows Barkin","crimeLocation","51.50853","-0.12574","1"
"Allhallows Barkin","defendantHome","51.50853","-0.12574","5"
"Allhallows Barking","defendantHome","51.53333","0.08333","1"
"Allhallows Bread-street","defendantHome","51.51342","-0.09487","1"
"Allhallows Lane","crimeLocation","51.50958","-0.09063","2"
"Allhallows Lombard-street","defendantHome","51.50853","-0.12574","2"
"Allhallows London Wall","crimeLocation","51.50853","-0.12574","2"
"Allhallows Staining","defendantHome","51.50853","-0.12574","1"
"Allhallows in the Tower Ward","defendantHome","51.50853","-0.12574","2"
"Allhallows the Great","defendantHome","51.50853","-0.12574","4"
"Allhallows' church-yard","crimeLocation","51.50853","-0.12574","1"
"Allhallows, London-Wall","defendantHome","51.50853","-0.12574","1"
"Allhollow-stairs","crimeLocation","51.50853","-0.12574","2"
"Almonry","crimeLocation","51.50853","-0.12574","12"
"Alpha-road","crimeLocation","51.610639","-0.064241","2"
"Alresford","crimeLocation","51.50853","-0.12574","1"
"Alridge","crimeLocation","51.50853","-0.12574","2"
"Ambury, at Westminster","crimeLocation","51.5","-0.11667","1"
"Amen Corner","crimeLocation","51.422978","-0.160094","3"
"America-square","crimeLocation","51.505607","-0.018512","1"
"American-square in the Minories","crimeLocation","51.50853","-0.12574","1"
"Ampton-street","crimeLocation","51.527494","-0.117292","1"
"Anchor and Hope-alley, St. George in the East","crimeLocation","51.52332","-0.03888","4"
"Anderson's Building's, City Road","crimeLocation","51.50853","-0.12574","1"
"Angel Alley","crimeLocation","51.515895","-0.07039","1"
"Angel Inn at Islington","crimeLocation","51.53622","-0.10304","1"
"Angel Inn, Pentonville","crimeLocation","51.531457","-0.105996","1"
"Angel Inn, St. Clements","crimeLocation","51.50853","-0.12574","2"
"Angel Inn, St. Giles","crimeLocation","51.50853","-0.12574","2"
"Angel Inn, the back of St. Clement's","crimeLocation","51.50853","-0.12574","1"
"Angel and Crown in Hungerford-market","crimeLocation","51.50853","-0.12574","1"
"Angel and Crown the Corner of Sheer Lane","crimeLocation","51.50853","-0.12574","2"
"Angel and Trumpet public-house, at Stepney","crimeLocation","51.5175","-0.04292","1"
"Angel in Half Moon Court in Whitechappel","crimeLocation","51.50853","-0.12574","2"
"Angel inn at Islington","crimeLocation","","","1"
"Angel inn, Angel-street","crimeLocation","51.51609","-0.09785","1"
"Angel inn, St. Martin's-le-grand","crimeLocation","51.50853","-0.12574","1"
"Angel-Alley, Bishopsgate street","crimeLocation","51.50853","-0.12574","1"
"Angel-Alley, Little Moorfields","crimeLocation","51.50853","-0.12574","1"
"Angel-Court, by Story's-Gate","crimeLocation","51.50853","-0.12574","1"
"Angel-alley","crimeLocation","51.515895","-0.07039","2"
"Angel-alley into Wentworth-street","crimeLocation","51.50853","-0.12574","1"
"Angel-alley, Bishopsgate","crimeLocation","51.51635","-0.08144","1"
"Angel-alley, Bishopsgate-street","crimeLocation","51.50853","-0.12574","2"
"Angel-court, Bishopsgate-street","crimeLocation","51.50853","-0.12574","1"
"Angel-court, King-street, Westminster","crimeLocation","51.5","-0.11667","1"
"Angel-court, St. James","crimeLocation","51.50853","-0.12574","2"
"Angel-court, Throgmorton-street","crimeLocation","51.50853","-0.12574","1"
"Angel-gardens","crimeLocation","51.50853","-0.12574","1"
"Angel-inn, the back of St. Clement's","crimeLocation","51.50853","-0.12574","1"
"Angel-passage, Skinner-street, Bishopsgate","crimeLocation","51.51635","-0.08144","1"
"Angel-public-house, at the corner of Gee-street","crimeLocation","51.50853","-0.12574","1"
"Angel-street","crimeLocation","51.51609","-0.09785","1"
"Angel-terrace, Hammersmith","crimeLocation","51.49384","-0.22882","1"
"Angle-court, Bartholomew-lane","crimeLocation","51.51425","-0.08754","1"
"Ann-street, Bethnal-green","crimeLocation","51.52718","-0.06109","1"
"Ann-street, Globe-fields","crimeLocation","51.50853","-0.12574","2"
"Ann-street, Spafields","crimeLocation","51.50853","-0.12574","2"
"Ann-street, Westminster","crimeLocation","51.5","-0.11667","2"
"Antelope collier, which laid at Bell-wharf tier, Shadwell","crimeLocation","51.51135","-0.05663","2"
"Antelope in White-hart Yard","crimeLocation","51.50853","-0.12574","2"
"Apollo","crimeLocation","51.51158","-0.133459","2"
"Apollo, public-house in Paddington-street","crimeLocation","51.50853","-0.12574","1"
"Apollo-court","crimeLocation","51.508121","-0.068246","1"
"Apollo-court, Fleet-street","crimeLocation","51.50853","-0.12574","2"
"Apothecaries'-hall","crimeLocation","51.50853","-0.12574","1"
"Apple Tree public house, Clerkenwell","crimeLocation","51.52438","-0.11022","1"
"Apsley-house","crimeLocation","51.503468","-0.151744","1"
"Arabella-row","crimeLocation","51.50853","-0.12574","1"
"Arabella-row, Pimlico","crimeLocation","51.48897","-0.13699","1"
"Arcade","crimeLocation","51.543317","-0.005932","1"
"Archer-street","crimeLocation","51.511394","-0.134308","1"
"Arebella-row, near Buckingham-gate","crimeLocation","51.507265","-0.127833","1"
"Argyle Buildings","crimeLocation","51.50853","-0.12574","1"
"Argyle street, Swallow street","crimeLocation","51.50853","-0.12574","1"
"Argyle-place","crimeLocation","51.493125","-0.231218","1"
"Argyle-street","crimeLocation","51.528992","-0.123584","4"
"Argyle-street, in Oxford-street","crimeLocation","51.51475","-0.14608","1"
"Argyle-tree Westminster","crimeLocation","51.5","-0.11667","1"
"Argyll-rooms","crimeLocation","51.50853","-0.12574","1"
"Arlington-street","crimeLocation","51.50692","-0.140753","4"
"Armitage-place","crimeLocation","51.50853","-0.12574","1"
"Armitage-stairs","crimeLocation","51.50853","-0.12574","1"
"Arthur-street, St. George's in the East","crimeLocation","51.52332","-0.03888","2"
"Artichoke Hill","crimeLocation","51.509316","-0.063028","1"
"Artichoke lane","crimeLocation","51.50853","-0.12574","1"
"Artillery Ground","crimeLocation","51.50853","-0.12574","3"
"Artillery Ground gate in the City-road","crimeLocation","51.50853","-0.12574","2"
