"PLACE_NAME","PLACE_TYPE","ID","DATESTAMP"
"St. Andrews Holborn","crimeLocation","t16851209-40","12/9/1685"
"St. Giles's Cripple-gate","crimeLocation","t16851209-11","12/9/1685"
"St. Sepulchres","crimeLocation","t16851209-30","12/9/1685"
"St. Pauls Covent-Garden","crimeLocation","t16860114-14","1/14/1686"
"St. Giles's Cripple-Gate","defendantHome","t16860114-1","1/14/1686"
"St. Pauls Covent-Garden","crimeLocation","t16860114-1","1/14/1686"
"St. Gregories","defendantHome","t16860224-19","2/24/1686"
"St. Pauls Church-Yard","crimeLocation","t16860224-19","2/24/1686"
"St. Mary Marfellon","defendantHome","t16860224-20","2/24/1686"
"St. Martins","defendantHome","t16860224-12","2/24/1686"
"St. Bennedict","defendantHome","t16860224-26","2/24/1686"
"St. Andrews Holbourn","defendantHome","t16860224-10","2/24/1686"
"St. James's Clarkenwell","defendantHome","t16860224-11","2/24/1686"
"St. Matfellon alias White Chappell","defendantHome","t16860414-1","4/14/1686"
"St. Buttolph","defendantHome","t16860414-1","4/14/1686"
"St. Matfellon alias White Chappell","defendantHome","t16860414-14","4/14/1686"
"St. Martins in the Field","defendantHome","t16860520-13","5/20/1686"
"St. Giles's in the Fields","defendantHome","t16860520-16","5/20/1686"
"Exchange","crimeLocation","t16860520-3","5/20/1686"
"St. Michaels Cornhill","crimeLocation","t16860520-3","5/20/1686"
"Stepney","defendantHome","t16860707-19","7/7/1686"
"St. Leonard Shorditch","defendantHome","t16860707-23","7/7/1686"
"St. Lawrence Jury","defendantHome","t16860901-18","9/1/1686"
"St. Dunstans in the West","defendantHome","t16860901-2","9/1/1686"
"St. Andrews Holbourn","defendantHome","t16861013-4","10/13/1686"
"St. Ann Agnes","defendantHome","t16861013-10","10/13/1686"
"St Dunstans in the West","defendantHome","t16861208-25","12/8/1686"
"St. Anne Agnes","defendantHome","t16861208-6","12/8/1686"
"St. Martins in the Fields","defendantHome","t16870114-21","1/14/1687"
"St. Michael-Bashaw","defendantHome","t16870114-4","1/14/1687"
"St. Andrews Holbourn alias Ward","defendantHome","t16870114-7","1/14/1687"
"St. Giles's Cripplegate","crimeLocation","t16870223-19","2/23/1687"
"St. Giles Cripplegate","crimeLocation","t16870223-19","2/23/1687"
"St. Margaret Westminster","defendantHome","t16870223-37","2/23/1687"
"Hill Tavern in Westminster","crimeLocation","t16870223-37","2/23/1687"
"St. Pancrass in the County of Middlesex","defendantHome","t16870406-40","4/6/1687"
"St. James's Westminster","crimeLocation","t16870406-43","4/6/1687"
"St. Martins in the Fields","crimeLocation","t16870406-46","4/6/1687"
"Thistleworth","crimeLocation","t16870512-15","5/12/1687"
"St. Andrews Holbourn","defendantHome","t16870512-24","5/12/1687"
"St. Edmunds the King, in the Ward of Longhorne","crimeLocation","t16870512-5","5/12/1687"
"St. Botolphs Aldgate","crimeLocation","t16870701-39","7/1/1687"
"Mark-Lane","crimeLocation","t16871012-13","10/12/1687"
"St. Alhollows Barking","crimeLocation","t16871012-13","10/12/1687"
"Thistleworth","crimeLocation","t16871012-25","10/12/1687"
"St. Andrews Holbourn","crimeLocation","t16871207-14","12/7/1687"
"Stepney","crimeLocation","t16871207-25","12/7/1687"
"St. Dunstans in the West","defendantHome","t16871207-5","12/7/1687"
"Fulham","defendantHome","t16880222-11","2/22/1688"
"Stepney","defendantHome","t16880222-13","2/22/1688"
"Hornsey","defendantHome","t16880222-16","2/22/1688"
"St. Matin's in the Fields","defendantHome","t16880222-21","2/22/1688"
"St. Nicholas Cole-Abby","defendantHome","t16880425-17","4/25/1688"
"St. Botolph Bishopsgate","crimeLocation","t16880425-2","4/25/1688"
"St. Giles's Church","crimeLocation","t16880425-37","4/25/1688"
"Thames","crimeLocation","t16880531-37","5/31/1688"
"St. Andrew's Holbourn","defendantHome","t16880831-15","8/31/1688"
"St. Giles's in the Fields","defendantHome","t16880831-29","8/31/1688"
"St. Clement's Danes","defendantHome","t16880831-4","8/31/1688"
"St. Andrews Holbourn","defendantHome","t16890516-57","5/16/1689"
"St. Mary Aldermary","defendantHome","t16890703-5","7/3/1689"
"St. Clements Danes","defendantHome","t16890828-12","8/28/1689"
"St. Andrews Holbourn","defendantHome","t16890828-2","8/28/1689"
"St. Andrews Holbourn","defendantHome","t16890828-21","8/28/1689"
"Eling","crimeLocation","t16890828-15","8/28/1689"
"Clements Inn","crimeLocation","t16890828-12","8/28/1689"
"St. Andrews Holbourn","defendantHome","t16890828-2","8/28/1689"
"Northern-Falgate","defendantHome","t16891211-8","12/11/1689"
"St. Alhallows Lumbard street","defendantHome","t16891211-1","12/11/1689"
"Safforn-Hill","crimeLocation","t16891211-27","12/11/1689"
"St. Andrew's Holbourn","defendantHome","t16900115-11","1/15/1690"
"Red-Lyon Square","crimeLocation","t16900430-21","4/30/1690"
"Edmonton","crimeLocation","t16900717-6","7/17/1690"
"West Ham in Essex","crimeLocation","t16901015-20","10/15/1690"
"Hillingdon","defendantHome","t16901015-23","10/15/1690"
"St. Pancras","crimeLocation","t16901210-8","12/10/1690"
"St. Mary Islingtone","crimeLocation","t16901210-8","12/10/1690"
"St. Sepulchres","crimeLocation","t16901210-2","12/10/1690"
"St. James Westminster","defendantHome","t16910218-33","2/18/1691"
"Fetter-Lane","crimeLocation","t16910422-14","4/22/1691"
"St. Christophers Parish, near the Exchange","crimeLocation","t16910422-32","4/22/1691"
"St. James Clarkenwel","crimeLocation","t16910708-20","7/8/1691"
"St. Andrews Holburn","crimeLocation","t16910708-24","7/8/1691"
"St. Michaels Cornhill","crimeLocation","t16920115-2","1/15/1692"
"Ratcliff Highway","crimeLocation","t16920115-20","1/15/1692"
"Ratcliff Highway","crimeLocation","t16920115-2","1/15/1692"
"Bishopgate street","crimeLocation","t16920115-6","1/15/1692"
"St. Andrews Holborn","crimeLocation","t16920115-8","1/15/1692"
"Little-All-hallows","defendantHome","t16920629-1","6/29/1692"
"Stepney Parish","crimeLocation","t16920629-7","6/29/1692"
"without Bishops-gate","crimeLocation","t16921207-21","12/7/1692"
"Knight-Riders-street","crimeLocation","t16930531-10","5/31/1693"
"St. Botolph's Aldgate","crimeLocation","t16931012-20","10/12/1693"
"Honey-lane Market","crimeLocation","t16940524-8","5/24/1694"
"White-chappel","crimeLocation","t16940830-13","8/30/1694"
"White-Chappel Road","crimeLocation","t16940830-13","8/30/1694"
"Ram-Ally","crimeLocation","t16940830-7","8/30/1694"
"Shoe-lane","crimeLocation","t16941010-13","10/10/1694"
"Paternoster-row","crimeLocation","t16941010-35","10/10/1694"
"St. Dunstans in the West","defendantHome","t16951203-2","12/3/1695"
"Star Tavern in White-Fryers","crimeLocation","t16951203-2","12/3/1695"
"St. Buttolph without Algate","defendantHome","t16951203-9","12/3/1695"
"St. Martins Ludgate","defendantHome","t16951203-28","12/3/1695"
"St. James Clerkenwell","defendantHome","t16951203-42","12/3/1695"
"St. Martins Ludgate","defendantHome","t16951203-2","12/3/1695"
"St. Peters Cornhil","defendantHome","t16960909-1","9/9/1696"
"Kensington","defendantHome","t16960909-1","9/9/1696"
"Ditton near Uxbridge","crimeLocation","t16960909-9","9/9/1696"
"St. James's Westminster","defendantHome","t16960909-40","9/9/1696"
"St. Sepulchres","defendantHome","t16960909-9","9/9/1696"
"Kensington","defendantHome","t16960909-17","9/9/1696"
"the Crown","crimeLocation","t16970224-18","2/24/1697"
"St. Giles's in the Fields","defendantHome","t16970224-18","2/24/1697"
"High Holborn","crimeLocation","t16970224-18","2/24/1697"
"Whitechappel","defendantHome","t16970901-42","9/1/1697"
"Whitechappel","defendantHome","t16970901-8","9/1/1697"
"St. Pauls Shadwell","defendantHome","t16970901-55","9/1/1697"
"South-Mims","defendantHome","t16970901-33","9/1/1697"
"Lamb's-Chappel in the Ward of Cripplegate","crimeLocation","t16971208-13","12/8/1697"
"St. Giles's in the County of Middlesex","defendantHome","t16971208-23","12/8/1697"
"St. Mary","defendantHome","t16971208-22","12/8/1697"
"St. Martins in the Fields","defendantHome","t16971208-8","12/8/1697"
"St. Buttolphs Aldgate","defendantHome","t16980504-8","5/4/1698"
"Stepney","defendantHome","t16980504-61","5/4/1698"
"St. Clements Danes","defendantHome","t16980504-20","5/4/1698"
"Thistleworth","defendantHome","t16980608-18","6/8/1698"
"St. Andrews Holbourn","defendantHome","t16980720-34","7/20/1698"
"St. Butolphs Bishopsgate","defendantHome","t16980720-3","7/20/1698"
"Stepney","defendantHome","t16980720-20","7/20/1698"
"St. Andrews Holbourn","defendantHome","t16980720-3","7/20/1698"
"St. James's Liberty of Westminster","defendantHome","t16980720-19","7/20/1698"
"Stepney","defendantHome","t16991011-8","10/11/1699"
"St. Martins in the Fields","defendantHome","t16991011-30","10/11/1699"
"Stepney","crimeLocation","t16991213-38","12/13/1699"
"St. Clements Deans","defendantHome","t17000828-25","8/28/1700"
"St. Margarets Westminster","defendantHome","t17000828-27","8/28/1700"
"St. Andrews Holborn","defendantHome","t17000828-9","8/28/1700"
"St. Andrews Holborn","defendantHome","t17000828-54","8/28/1700"
"St. Margets Westminster","defendantHome","t17000828-63","8/28/1700"
"St. James Westminster","defendantHome","t17000828-31","8/28/1700"
"St. James's Clerkenwell","defendantHome","t17180423-9","4/23/1718"
"Enfield","defendantHome","t17180423-23","4/23/1718"
"St. Sepulchres","defendantHome","t17180423-5","4/23/1718"
"St. Sepulchres","defendantHome","t17180423-54","4/23/1718"
"St. Bennets Paules wharf","defendantHome","t17180423-5","4/23/1718"
"St. Giles's in the Fields","defendantHome","t17180423-44","4/23/1718"
"St. Martin in the Fields","defendantHome","t17180423-38","4/23/1718"
"St. John Wapping","defendantHome","t17180423-34","4/23/1718"
"Enfield","crimeLocation","t17180423-2","4/23/1718"
"Enfield","crimeLocation","t17180423-23","4/23/1718"
"Enfield","defendantHome","t17180423-2","4/23/1718"
"St. Margaret's Westminster","defendantHome","t17180423-11","4/23/1718"
"St. Margaret's","defendantHome","t17180423-12","4/23/1718"
"St. Brides","defendantHome","t17180423-13","4/23/1718"
"St. Mary le Bone","defendantHome","t17180423-14","4/23/1718"
"St. Helens","defendantHome","t17180423-15","4/23/1718"
"St. Dunstan's in the West","defendantHome","t17180423-16","4/23/1718"
"St. Buttolph's Aldgate","defendantHome","t17180423-17","4/23/1718"
"St. Mary Whitechapel","defendantHome","t17180423-2","4/23/1718"
"St. James's Westminster","defendantHome","t17180423-21","4/23/1718"
"St. James's Westminster","defendantHome","t17180423-2","4/23/1718"
"Hanwel","defendantHome","t17180423-7","4/23/1718"
"St. Giles in the Fields","defendantHome","t17180530-2","5/30/1718"
"St. Bartholomew the Great","defendantHome","t17180530-3","5/30/1718"
"St. Giles's in the Fields","defendantHome","t17180530-9","5/30/1718"
"St. Giles's in the Fields","defendantHome","t17180530-7","5/30/1718"
"Hillenden","defendantHome","t17180530-6","5/30/1718"
"St. Giles in the Fields","defendantHome","t17180530-26","5/30/1718"
"St. Andrews Holbourn","defendantHome","t17180530-2","5/30/1718"
"St. Andrews Holbourn","defendantHome","t17180530-25","5/30/1718"
"St. James's Westminister","defendantHome","t17180530-2","5/30/1718"
"St. James's Westminister","defendantHome","t17180530-21","5/30/1718"
"St. Martin's Ludgate","defendantHome","t17180530-2","5/30/1718"
"Ludgate-Hill","crimeLocation","t17180530-19","5/30/1718"
"Ludgate-Hill","crimeLocation","t17180530-1","5/30/1718"
"St. Brides","defendantHome","t17180530-19","5/30/1718"
"St. Brides","defendantHome","t17180530-1","5/30/1718"
"Sun-Tavern in Holbourn","crimeLocation","t17180530-17","5/30/1718"
"Sun-Tavern in Holbourn","crimeLocation","t17180530-1","5/30/1718"
"St. Andrew's Holbourn","defendantHome","t17180530-17","5/30/1718"
"Christ Church","defendantHome","t17180530-1","5/30/1718"
"St. Margaret's Westminster","defendantHome","t17180530-1","5/30/1718"
"St. Margaret's Westminster","defendantHome","t17180530-10","5/30/1718"
"St. Andrew's Holbourn","defendantHome","t17180530-1","5/30/1718"
"St. James's Westminster","defendantHome","t17180709-18","7/9/1718"
"St. Dunstan's in the West","defendantHome","t17180709-4","7/9/1718"
"Barnet","defendantHome","t17180709-8","7/9/1718"
"St. Giles's Cripplegate","defendantHome","t17180709-7","7/9/1718"
"Hackney","defendantHome","t17180709-16","7/9/1718"
"St. Anns Westminster","defendantHome","t17180709-15","7/9/1718"
"St Dunstan's in the West","defendantHome","t17180709-19","7/9/1718"
"St. Swithin's","defendantHome","t17180709-2","7/9/1718"
"St. Michael's Cornhill","defendantHome","t17180709-21","7/9/1718"
"St. Michael's Cornhill","defendantHome","t17180709-2","7/9/1718"
"St. Martin's in the Fields","defendantHome","t17180709-26","7/9/1718"
"St. Martin's in the Fields","defendantHome","t17180709-2","7/9/1718"
"St. Giles's in the Fields","defendantHome","t17180709-29","7/9/1718"
"St. Giles's in the Fields","defendantHome","t17180709-2","7/9/1718"
"St. Dunstan's in the West","defendantHome","t17180709-32","7/9/1718"
"White-Fryers","crimeLocation","t17180709-32","7/9/1718"
"St. Giles's Cripplegate","defendantHome","t17180709-34","7/9/1718"
"Hackney-Church","crimeLocation","t17180709-16","7/9/1718"
"St. James Westminster","defendantHome","t17180910-1","9/10/1718"
"St. Michaels Cornhill","defendantHome","t17180910-1","9/10/1718"
"St. Michaels Cornhill","defendantHome","t17180910-10","9/10/1718"
"St. Michaels Queenhithe","defendantHome","t17180910-1","9/10/1718"
"St. Michaels Queenhithe","defendantHome","t17180910-11","9/10/1718"
"St. Mary Lothbury","defendantHome","t17180910-1","9/10/1718"
"St. Mary Lothbury","defendantHome","t17180910-14","9/10/1718"
"Alhallows in the Wall","defendantHome","t17180910-15","9/10/1718"
"Alhallows in the Wall","defendantHome","t17180910-1","9/10/1718"
"St. Buttolphs Bishops-gate","defendantHome","t17180910-1","9/10/1718"
"St. Buttolphs Bishops-gate","defendantHome","t17180910-18","9/10/1718"
"St. Andrews Holbourn","defendantHome","t17180910-1","9/10/1718"
"St. Andrews Holbourn","defendantHome","t17180910-19","9/10/1718"
"St. Martins in the Fields","defendantHome","t17180910-2","9/10/1718"
"St. Buttolphs Bishops-gate","defendantHome","t17180910-20","9/10/1718"
"St. Buttolphs Bishops-gate","defendantHome","t17180910-2","9/10/1718"
"4 swans in Bishops-gate-street","crimeLocation","t17180910-20","9/10/1718"
"4 swans in Bishops-gate-street","crimeLocation","t17180910-2","9/10/1718"
"St. Anns Westminster","defendantHome","t17180910-23","9/10/1718"
"St. Anns Westminster","defendantHome","t17180910-2","9/10/1718"
"St. Andrew Holbourn","defendantHome","t17180910-24","9/10/1718"
"St. Andrew Holbourn","defendantHome","t17180910-2","9/10/1718"
"St. Sepulchres","defendantHome","t17180910-26","9/10/1718"
"St. Sepulchres","defendantHome","t17180910-2","9/10/1718"
"St. Mary Whitechappel","defendantHome","t17180910-2","9/10/1718"
"St. Mary Whitechappel","defendantHome","t17180910-27","9/10/1718"
"St. James Clerkenwell","defendantHome","t17180910-29","9/10/1718"
"St. James Clerkenwell","defendantHome","t17180910-2","9/10/1718"
"St. James's Westminster","defendantHome","t17180910-3","9/10/1718"
"St. Giles in the Fields","defendantHome","t17180910-3","9/10/1718"
"St. Giles in the Fields","defendantHome","t17180910-30","9/10/1718"
"St. Dunstan's Stepney","defendantHome","t17180910-3","9/10/1718"
"St. Dunstan's Stepney","defendantHome","t17180910-31","9/10/1718"
"St. Margaret's Westminster","defendantHome","t17180910-3","9/10/1718"
"St. Margaret's Westminster","defendantHome","t17180910-32","9/10/1718"
"St. Sepulchres","defendantHome","t17180910-3","9/10/1718"
"St. Sepulchres","defendantHome","t17180910-34","9/10/1718"
"St. Stephen Coleman Street","defendantHome","t17180910-3","9/10/1718"
"St. Stephen Coleman Street","defendantHome","t17180910-35","9/10/1718"
"St. Buttolphs Aldgate","defendantHome","t17180910-38","9/10/1718"
"St. Buttolphs Aldgate","defendantHome","t17180910-3","9/10/1718"
"St. Giles's in the Fields","defendantHome","t17180910-4","9/10/1718"
"St. Buttolph Aldgate","defendantHome","t17180910-43","9/10/1718"
"St. Buttolph Aldgate","defendantHome","t17180910-4","9/10/1718"
"St. Katherines-Lane","crimeLocation","t17180910-43","9/10/1718"
"St. Katherines-Lane","crimeLocation","t17180910-4","9/10/1718"
"St. Giles's in the Fields","defendantHome","t17180910-47","9/10/1718"
"St. Giles's in the Fields","defendantHome","t17180910-4","9/10/1718"
"St. Buttolphs Aldgate","defendantHome","t17180910-48","9/10/1718"
"St. Buttolphs Aldgate","defendantHome","t17180910-4","9/10/1718"
"St. Martins in the Fields","defendantHome","t17180910-4","9/10/1718"
"St. Martins in the Fields","defendantHome","t17180910-49","9/10/1718"
"St. Anns Westminster","defendantHome","t17180910-5","9/10/1718"
"St. Martins in the Fields","defendantHome","t17180910-5","9/10/1718"
"St. Martins in the Fields","defendantHome","t17180910-50","9/10/1718"
"Stepney","defendantHome","t17180910-5","9/10/1718"
"Stepney","defendantHome","t17180910-54","9/10/1718"
"St. Sepulchres","defendantHome","t17180910-5","9/10/1718"
"St. Sepulchres","defendantHome","t17180910-56","9/10/1718"
"St. Pauls Covent Garden","defendantHome","t17180910-6","9/10/1718"
"St. Clement-Danes","defendantHome","t17180910-6","9/10/1718"
"St. Clement-Danes","defendantHome","t17180910-62","9/10/1718"
"Marybone","defendantHome","t17180910-6","9/10/1718"
"Marybone","defendantHome","t17180910-66","9/10/1718"
"St. Andrews Holbourn","defendantHome","t17180910-70","9/10/1718"
"St. Giles's Cripplegate","defendantHome","t17180910-72","9/10/1718"
"between Hounslow and London","crimeLocation","t17180910-80","9/10/1718"
"St. James's Park","crimeLocation","t17181015-13","10/15/1718"
"St. Sepulchres","defendantHome","t17181015-37","10/15/1718"
"St. Sepulchres","defendantHome","t17181015-3","10/15/1718"
"Fulham","defendantHome","t17181015-30","10/15/1718"
"St. Giles's Cripplegate","defendantHome","t17181015-19","10/15/1718"
"St. Mary White-Chappel","defendantHome","t17181015-3","10/15/1718"
"St. Michaels Cornhill","defendantHome","t17181015-24","10/15/1718"
"Stepney","defendantHome","t17181015-22","10/15/1718"
"Fulham","defendantHome","t17181015-3","10/15/1718"
"St. Giles's Cripplegate","defendantHome","t17181205-5","12/5/1718"
"St. Sepulchres","defendantHome","t17181205-5","12/5/1718"
"St. Sepulchres","defendantHome","t17181205-50","12/5/1718"
"Holbourn-Bridge","crimeLocation","t17181205-5","12/5/1718"
"Holbourn-Bridge","crimeLocation","t17181205-50","12/5/1718"
"St. Andrews Holbourn","defendantHome","t17181205-5","12/5/1718"
"St. Andrews Holbourn","defendantHome","t17181205-51","12/5/1718"
"St. Thomas Apostles","defendantHome","t17181205-6","12/5/1718"
"St. Mildreds Poultry","defendantHome","t17181205-7","12/5/1718"
"Stocks-Market","crimeLocation","t17181205-7","12/5/1718"
"St. Magnes the Martyr","defendantHome","t17181205-8","12/5/1718"
"St. Dunstans Stepney","defendantHome","t17181205-11","12/5/1718"
"St. Dunstans Stepney","defendantHome","t17181205-12","12/5/1718"
"St. Buttolphs Aldgate","defendantHome","t17181205-13","12/5/1718"
"St. Sepulchres","defendantHome","t17181205-14","12/5/1718"
"St. Sepulchres","defendantHome","t17181205-16","12/5/1718"
"St. Buttolphs Aldgate","defendantHome","t17181205-17","12/5/1718"
"St. Gabriel's Fenchurch-street","defendantHome","t17181205-2","12/5/1718"
"St. Giles in the Fields","defendantHome","t17181205-22","12/5/1718"
"St. Giles in the Fields","defendantHome","t17181205-2","12/5/1718"
"St. Paul's Church-Yard","crimeLocation","t17181205-22","12/5/1718"
"St. Paul's Church-Yard","crimeLocation","t17181205-2","12/5/1718"
"St. Mildred Poultry","defendantHome","t17181205-3","12/5/1718"
"St. Andrews Holbourn","defendantHome","t17181205-47","12/5/1718"
"St. Sepulchres","defendantHome","t17181205-48","12/5/1718"
"Hackney","defendantHome","t17181205-30","12/5/1718"
"Hackney","defendantHome","t17181205-3","12/5/1718"
"St. James Westminster","defendantHome","t17181205-31","12/5/1718"
"St. James Westminster","defendantHome","t17181205-3","12/5/1718"
"St. Andrews Holbourn","defendantHome","t17181205-34","12/5/1718"
"Stepney","defendantHome","t17181205-46","12/5/1718"
"St. Andrews Holbourn","defendantHome","t17181205-42","12/5/1718"
"Hackney","defendantHome","t17181205-41","12/5/1718"
"St. Andrew Holbourn","defendantHome","t17181205-3","12/5/1718"
"St. Andrew Holbourn","defendantHome","t17181205-39","12/5/1718"
"Stepney","defendantHome","t17181205-3","12/5/1718"
"Stepney","defendantHome","t17181205-37","12/5/1718"
"St. Andrews Holbourn","defendantHome","t17181205-3","12/5/1718"
"St. Martins in the Fields","defendantHome","t17181205-36","12/5/1718"
"St. Martins in the Fields","defendantHome","t17181205-3","12/5/1718"
"St. Mary Aldermanbury","defendantHome","t17190115-10","1/15/1719"
"St. Andrews Holbourn","defendantHome","t17190115-9","1/15/1719"
"Allhallows Bread-street","defendantHome","t17190115-13","1/15/1719"
"Stanwell","defendantHome","t17190115-20","1/15/1719"
"near Stains","crimeLocation","t17190115-20","1/15/1719"
"St. Andrews Holbourn","defendantHome","t17190115-25","1/15/1719"
"little Ormond-yard","crimeLocation","t17190115-25","1/15/1719"
"St. Clement Danes","defendantHome","t17190115-26","1/15/1719"
"St. Giles Cripplegate","defendantHome","t17190115-27","1/15/1719"
"St. James's Clarkenwel","defendantHome","t17190115-3","1/15/1719"
"St. Giles Cripplegate","defendantHome","t17190115-33","1/15/1719"
"St. Giles Cripplegate","defendantHome","t17190115-3","1/15/1719"
"All Hallows","defendantHome","t17190115-3","1/15/1719"
"All Hallows","defendantHome","t17190115-34","1/15/1719"
"St Giles Cripplegate","defendantHome","t17190115-3","1/15/1719"
"St Giles Cripplegate","defendantHome","t17190115-38","1/15/1719"
"St. James Clarkenwel","defendantHome","t17190115-4","1/15/1719"
"St. Mary White Chappel","defendantHome","t17190115-4","1/15/1719"
"St. Mary White Chappel","defendantHome","t17190115-44","1/15/1719"
"St. Giles Cripplegate","defendantHome","t17190115-8","1/15/1719"
"St. Buttolph Aldgate","defendantHome","t17190115-11","1/15/1719"
"St. Giles Cripplegate","defendantHome","t17190225-1","2/25/1719"
"St. Margarets Westminster","defendantHome","t17190225-37","2/25/1719"
"St. Dionis Backchurch","defendantHome","t17190225-1","2/25/1719"
"St. Dionis Backchurch","defendantHome","t17190225-18","2/25/1719"
"St. Giles's Cripplegate","defendantHome","t17190225-1","2/25/1719"
"St. Giles's Cripplegate","defendantHome","t17190225-19","2/25/1719"
"St. Dunstan at Stepney","defendantHome","t17190225-2","2/25/1719"
"St. Michael's Queenhith","defendantHome","t17190225-2","2/25/1719"
"St. Michael's Queenhith","defendantHome","t17190225-25","2/25/1719"
"Queenhith","crimeLocation","t17190225-2","2/25/1719"
"Queenhith","crimeLocation","t17190225-25","2/25/1719"
"St. Martins in the Fields","defendantHome","t17190225-29","2/25/1719"
"St. Martins in the Fields","defendantHome","t17190225-2","2/25/1719"
"St. Giles Cripplegate","defendantHome","t17190225-31","2/25/1719"
"St. Giles Cripplegate","defendantHome","t17190225-3","2/25/1719"
"Golden Lane","crimeLocation","t17190225-31","2/25/1719"
"Golden Lane","crimeLocation","t17190225-3","2/25/1719"
"St. Margarets Westminster","defendantHome","t17190225-32","2/25/1719"
"St. Margarets Westminster","defendantHome","t17190225-3","2/25/1719"
"St. Jame's Westminster","defendantHome","t17190225-33","2/25/1719"
"St. Jame's Westminster","defendantHome","t17190225-3","2/25/1719"
"St. Giles in the Fields","defendantHome","t17190225-34","2/25/1719"
"St. Giles in the Fields","defendantHome","t17190225-3","2/25/1719"
"St. Giles in the Fields","defendantHome","t17190225-40","2/25/1719"
"Christ-Church","defendantHome","t17190225-5","2/25/1719"
"St. Dunstan's in the East","defendantHome","t17190225-6","2/25/1719"
"St. Brides","defendantHome","t17190225-6","2/25/1719"
"St. Clements Danes","defendantHome","t17190225-7","2/25/1719"
"St. Margarets Westminster","defendantHome","t17190225-3","2/25/1719"
