Royal Exchange, London, England
St. Andrews Holbourn, London, England
St. Mary Aldermary, London, England
St. Clements Danes, London, England
Clements Inn, London, England
Eling, London, England
St. Andrews Holbourn, London, England
St. Andrews Holbourn, London, England
St. Andrews Holbourn, London, England
St. Martins in the Fields, London, England
St. Clements Danes, London, England
Stepney, London, England
St. Buttolphs Aldgate, London, England
Thistleworth, London, England
St. James's Liberty of Westminster, London, England
Stepney, London, England
St. Butolphs Bishopsgate, London, England
Edmonton, London, England
West Ham in Essex, London, England
Hillingdon, London, England
St. Sepulchres, London, England
St. Mary Islingtone, London, England
St. Pancras, London, England
St. James Westminster, London, England
Fetter-Lane, London, England
St. Christophers Parish, near the Exchange, London, England
St. James Clarkenwel, London, England
St. Andrews Holburn, London, England
St. Michaels Cornhill, London, England
Ratcliff Highway, London, England
Ratcliff Highway, London, England
Bishopgate street, London, England
St. Andrews Holborn, London, England
Little-All-hallows, London, England
Stepney Parish, London, England
without Bishops-gate, London, England
Knight-Riders-street, London, England
St. Botolph's Aldgate, London, England
Honey-lane Market, London, England
White-chappel, London, England
White-Chappel Road, London, England
Ram-Ally, London, England
Shoe-lane, London, England
Paternoster-row, London, England
St. Dunstans in the West, London, England
Star Tavern in White-Fryers, London, England
St. Martins Ludgate, London, England
St. Martins Ludgate, London, England
St. James Clerkenwell, London, England
St. Buttolph without Algate, London, England
St. Peters Cornhil, London, England
Kensington, London, England
Kensington, London, England
St. James's Westminster, London, England
St. Sepulchres, London, England
Ditton near Uxbridge, London, England
St. Giles's in the Fields, London, England
High Holborn, London, England
the Crown, London, England
South-Mims, London, England
Whitechappel, London, England
St. Pauls Shadwell, London, England
Whitechappel, London, England
Lamb's-Chappel in the Ward of Cripplegate, London, England
St. Mary, London, England
St. Giles's in the County of Middlesex, London, England
Hillenden, London, England
St. Giles's in the Fields, London, England
St. Giles's in the Fields, London, England
St. Anns Westminster, London, England
Hackney, London, England
Hackney-Church, London, England
St. James's Westminster, London, England
St Dunstan's in the West, London, England
St. Swithin's, London, England
St. Michael's Cornhill, London, England
St. Michael's Cornhill, London, England
St. Martin's in the Fields, London, England
St. Martin's in the Fields, London, England
St. Giles's in the Fields, London, England
St. Giles's in the Fields, London, England
St. Dunstan's in the West, London, England
White-Fryers, London, England
St. Giles's Cripplegate, London, England
St. Dunstan's in the West, London, England
St. Andrews Holbourn, London, England
St. Andrews Holbourn, London, England
St. Martins in the Fields, London, England
Stepney, London, England
Stepney, London, England
St. Clements Deans, London, England
St. Margarets Westminster, London, England
St. James Westminster, London, England
St. Andrews Holborn, London, England
St. Margets Westminster, London, England
St. Andrews Holborn, London, England
St. Margaret's Westminster, London, England
St. Margaret's, London, England
St. Brides, London, England
St. Mary le Bone, London, England
St. Helens, London, England
St. Dunstan's in the West, London, England
St. Buttolph's Aldgate, London, England
St. Mary Whitechapel, London, England
St. James's Westminster, London, England
St. James's Westminster, London, England
Enfield, London, England
Enfield, London, England
Enfield, London, England
Enfield, London, England
St. John Wapping, London, England
St. Martin in the Fields, London, England
St. Giles's in the Fields, London, England
St. Bennets Paules wharf, London, England
St. Sepulchres, London, England
St. Sepulchres, London, England
Hanwel, London, England
St. James's Clerkenwell, London, England
Christ Church, London, England
St. Margaret's Westminster, London, England
St. Margaret's Westminster, London, England
St. Andrew's Holbourn, London, England
St. Andrew's Holbourn, London, England
Sun-Tavern in Holbourn, London, England
Sun-Tavern in Holbourn, London, England
St. Brides, London, England
St. Brides, London, England
Ludgate-Hill, London, England
Ludgate-Hill, London, England
St. Martin's Ludgate, London, England
St. James's Westminister, London, England
St. James's Westminister, London, England
St. Andrews Holbourn, London, England
St. Andrews Holbourn, London, England
St. Giles in the Fields, London, England
St. Giles in the Fields, London, England
St. Bartholomew the Great, London, England
Hackney, London, England
Hackney, London, England
St. James Westminster, London, England
St. James Westminster, London, England
St. Andrews Holbourn, London, England
St. Andrews Holbourn, London, England
St. Martins in the Fields, London, England
St. Martins in the Fields, London, England
Stepney, London, England
Stepney, London, England
St. Andrew Holbourn, London, England
St. Andrew Holbourn, London, England
Hackney, London, England
St. Andrews Holbourn, London, England
Stepney, London, England
St. Giles's Cripplegate, London, England
Barnet, London, England
St. James Westminster, London, England
St. Michaels Cornhill, London, England
St. Michaels Cornhill, London, England
St. Michaels Queenhithe, London, England
St. Michaels Queenhithe, London, England
St. Mary Lothbury, London, England
St. Mary Lothbury, London, England
Alhallows in the Wall, London, England
Alhallows in the Wall, London, England
St. Buttolphs Bishops-gate, London, England
St. Buttolphs Bishops-gate, London, England
St. Andrews Holbourn, London, England
St. Andrews Holbourn, London, England
St. Martins in the Fields, London, England
St. Buttolphs Bishops-gate, London, England
St. Buttolphs Bishops-gate, London, England
4 swans in Bishops-gate-street, London, England
4 swans in Bishops-gate-street, London, England
St. Anns Westminster, London, England
St. Anns Westminster, London, England
St. Andrew Holbourn, London, England
St. Andrew Holbourn, London, England
St. Sepulchres, London, England
St. Sepulchres, London, England
St. Mary Whitechappel, London, England
St. Mary Whitechappel, London, England
St. James Clerkenwell, London, England
St. James Clerkenwell, London, England
St. James's Westminster, London, England
St. Giles in the Fields, London, England
St. Giles in the Fields, London, England
St. Dunstan's Stepney, London, England
St. Dunstan's Stepney, London, England
St. Margaret's Westminster, London, England
St. Margaret's Westminster, London, England
St. Sepulchres, London, England
St. Sepulchres, London, England
St. Stephen Coleman Street, London, England
St. Stephen Coleman Street, London, England
St. Buttolphs Aldgate, London, England
St. Buttolphs Aldgate, London, England
St. Giles's in the Fields, London, England
St. Buttolph Aldgate, London, England
St. Buttolph Aldgate, London, England
St. Katherines-Lane, London, England
St. Katherines-Lane, London, England
St. Giles's in the Fields, London, England
St. Giles's in the Fields, London, England
St. Buttolphs Aldgate, London, England
St. Buttolphs Aldgate, London, England
St. Martins in the Fields, London, England
St. Martins in the Fields, London, England
St. Anns Westminster, London, England
St. Martins in the Fields, London, England
St. Martins in the Fields, London, England
Stepney, London, England
Stepney, London, England
St. Sepulchres, London, England
St. Sepulchres, London, England
St. Pauls Covent Garden, London, England
St. Clement-Danes, London, England
St. Clement-Danes, London, England
Marybone, London, England
Marybone, London, England
St. Andrews Holbourn, London, England
St. Giles's Cripplegate, London, England
between Hounslow and London, London, England
St. James's Park, London, England
St. Giles's Cripplegate, London, England
Stepney, London, England
St. Michaels Cornhill, London, England
St. Mary White-Chappel, London, England
Fulham, London, England
Fulham, London, England
St. Sepulchres, London, England
St. Sepulchres, London, England
St. Dunstans Stepney, London, England
St. Dunstans Stepney, London, England
St. Buttolphs Aldgate, London, England
St. Sepulchres, London, England
St. Sepulchres, London, England
St. Buttolphs Aldgate, London, England
St. Gabriel's Fenchurch-street, London, England
St. Giles in the Fields, London, England
St. Giles in the Fields, London, England
St. Paul's Church-Yard, London, England
St. Paul's Church-Yard, London, England
St. Mildred Poultry, London, England
St. Giles in the Fields, London, England
Christ-Church, London, England
St. Dunstan's in the East, London, England
St. Brides, London, England
St. Clements Danes, London, England
St. Andrews Holburn, London, England
Hand-Alley near Grays-in-Lane, London, England
St.Martins in the Fields, London, England
St. Martins in the Fields, London, England
St. Mary Islington, London, England
St. Dunstan at Stepney, London, England
St. Dunstan at Stepney, London, England
St. Dunstan at Stepney, London, England
St.Leonard Shoreditch, London, England
St. Andrews Holbourn, London, England
St. Giles in the Fields, London, England
St. Giles in the Fields, London, England
St. Martins in the Fields, London, England
St. Martins in the Fields, London, England
St. Andrews Holbourn, London, England
St. Sepulchres, London, England
St. Giles's Cripplegate, London, England
St. Sepulchres, London, England
St. Sepulchres, London, England
Holbourn-Bridge, London, England
Holbourn-Bridge, London, England
St. Andrews Holbourn, London, England
St. Andrews Holbourn, London, England
St. Thomas Apostles, London, England
St. Mildreds Poultry, London, England
Stocks-Market, London, England
St. Magnes the Martyr, London, England
St. Mary Aldermanbury, London, England
St. Buttolph Aldgate, London, England
Allhallows Bread-street, London, England
Stanwell, London, England
near Stains, London, England
St. Andrews Holbourn, London, England
little Ormond-yard, London, England
St. Clement Danes, London, England
St. Giles Cripplegate, London, England
St. James's Clarkenwel, London, England
St. Giles Cripplegate, London, England
St. Giles Cripplegate, London, England
All Hallows, London, England
All Hallows, London, England
St Giles Cripplegate, London, England
St Giles Cripplegate, London, England
St. James Clarkenwel, London, England
St. Mary White Chappel, London, England
St. Mary White Chappel, London, England
St. Giles Cripplegate, London, England
St. Andrews Holbourn, London, England
St. Mary White-Chappel, London, England
St. Mildred Poultry, London, England
St. Mildred Poultry, London, England
Stocks Market, London, England
Stocks Market, London, England
St. John at Wapping, London, England
St. John at Wapping, London, England
St. Dunstan in the East, London, England
St. Dunstan in the East, London, England
St. Giles Cripplegate, London, England
St. Giles Cripplegate, London, England
St. Dionis Backchurch, London, England
St. Dionis Backchurch, London, England
St. Giles's Cripplegate, London, England
St. Giles's Cripplegate, London, England
St. Dunstan at Stepney, London, England
St. Michael's Queenhith, London, England
St. Michael's Queenhith, London, England
Queenhith, London, England
Queenhith, London, England
St. Martins in the Fields, London, England
St. Martins in the Fields, London, England
St. Giles Cripplegate, London, England
St. Giles Cripplegate, London, England
Golden Lane, London, England
Golden Lane, London, England
St. Margarets Westminster, London, England
St. Margarets Westminster, London, England
St. Jame's Westminster, London, England
St. Jame's Westminster, London, England
St. Giles in the Fields, London, England
St. Giles in the Fields, London, England
Ealing, London, England
Ealing, London, England
St. Margarets Westminster, London, England
St. Margarets Westminster, London, England
St. Martin in the Fields, London, England
St. Martin in the Fields, London, England
St. Giles in the Fields, London, England
St. Giles in the Fields, London, England
St. Bartholomew the Great, London, England
St. Giles in the Fields, London, England
St. Mary Magdalen in Old-Fish-Street, London, England
St. Martins in the Fields, London, England
St. Martins in the Fields, London, England
St. Paul's Shadwell, London, England
St. Paul's Shadwell, London, England
St. Anns Westminster, London, England
St. Anns Westminster, London, England
Feltham, London, England
Feltham, London, England
St. Clements Danes, London, England
St. Clements Danes, London, England
St. Giles in the Fields, London, England
St. Giles in the Fields, London, England
St. Giles in the Fields, London, England
St. Giles in the Fields, London, England
Stepney, London, England
Stepney, London, England
St. James Clerkenwell, London, England
St. James Clerkenwell, London, England
Hungerford Market, London, England
Hungerford Market, London, England
St. John at Hackney, London, England
St. John at Hackney, London, England
St. Martins in the Fields, London, England
St. Margaret Pattons, London, England
St. Gregory by St. Paul, London, England
St. Pauls Church Yard, London, England
St. Andrew in Holbourn, London, England
St. Martin's Whitechapel, London, England
St. Martin's Whitechapel, London, England
St. James in Westminister, London, England
Pall Mall, London, England
St. Dunstan in the West, London, England
St. Botolph without Aldgate, London, England
St. Sepulchres, London, England
St. Andrew in Holbourn, London, England
St. Clements Danes, London, England
St. Laurence Jewry, London, England
Blossoms Inn, London, England
St. Andrew in Holbourn, London, England
St. Andrew in Holbourn, London, England
St. Ann in Westminster, London, England
St. Ann in Westminster, London, England
St. Antholin, London, England
St. Martin in the Fields, London, England
St. Martin in the Fields, London, England
St. Andrew in Holbourn, London, England
St. Andrew in Holbourn, London, England
St. George in Botolph Lane, London, England
St. George Botolph Lane, London, England
St.Michael in Cornhill, London, England
Royal-Exchange, London, England
St. Botolph at Billinsgate, London, England
St. Botolph at Billinsgate, London, England
St. Giles without Cripplegate, London, England
St. Sepulchres, London, England
St. Botolph without Aldgate, London, England
St. John at Wapping, London, England
St. Sepulchres, London, England
St. Sepulchres, London, England
Peters Lane in Cow Cross, London, England
Peters Lane in Cow Cross, London, England
Tottenham, London, England
Tottenham, London, England
St. James at Westminster, London, England
St. James at Westminster, London, England
St. Dunstan in the West, London, England
Edminton, London, England
Edminton, London, England
St. Dunstan in the East, London, England
St. James in Westminster, London, England
St. James in Westminster, London, England
Smithfield, London, England
St. Andrew in Holbourn, London, England
St. Michael in Cornhill, London, England
St. Botolph without Bishopsgate, London, England
St. Giles in the Fields, London, England
St. Giles in the Fields, London, England
St. Martin in the Fields, London, England
St. Martin in the Fields, London, England
St. Dunstan at Stepney, London, England
St. Dunstan at Stepney, London, England
St. Giles without Cripplegate, London, England
St. Giles without Cripplegate, London, England
St. Mary in the Savoy, London, England
St. Mary in the Savoy, London, England
St. Peter in Cornhill, London, England
St. Dunstan in the West, London, England
St. Dunstan in the West, London, England
St. Clement Danes, London, England
St. Clement Danes, London, England
St. Anns Westminster, London, England
St. Anns Westminster, London, England
All Hallows Barkin, London, England
Brewer's Key Gate-way, London, England
Stepney, London, England
Stepney, London, England
St. Stephen Walbrook, London, England
St. Leonard Shoreditch, London, England
St. Andrew Holbourn, London, England
Crown Court, London, England
Crown Court, London, England
St. Botolph Aldgate, London, England
Clerkenwell, London, England
Clerkenwell, London, England
St. Botolph without Aldgate, London, England
St. Botolph without Aldgate, London, England
Tower-Hill, London, England
Tower-Hill, London, England
St. Leonard in Shoreditch, London, England
St. Leonard in Shoreditch, London, England
St. John at Hackney, London, England
St. John at Hackney, London, England
St. Ann in Westminster, London, England
Paddington, London, England
St. Martin in the Fields, London, England
St. Stephen in Coloman-street, London, England
St. Ann in Westminster, London, England
St. Ann in Westminster, London, England
Prince's Gate, London, England
Prince's Gate, London, England
St. Sepulchres, London, England
Leather-Lane, London, England
St. John at Wapping, London, England
St. Mary-le-Bow, London, England
Cheapside, London, England
St. Andrews Holbourn, London, England
St. Andrews Holbourn, London, England
St. Paul's Shadwell, London, England
St. Paul's Shadwell, London, England
Shadwell Dock, London, England
Shadwell Dock, London, England
St. Margaret's Westminster, London, England
St. James's Westminster, London, England
St. Giles's in the Fields, London, England
St. Martins in the Fields, London, England
St. Clement's Danes, London, England
Lamb-Inn near St. Clements Church, London, England
St. Andrews Holbourn, London, England
St. Leonard Shoreditch, London, England
St. Giles in the Fields, London, England
St. Giles in the Fields, London, England
St. Brides, London, England
St. John at Hackeny, London, England
St. John at Hackeny, London, England
St. Gregory, London, England
St. Paul's Church, London, England
St. Botolphs Bishopsgate, London, England
St. Anns Aldersgate, London, England
St. Martins, London, England
St.Giles Cripplegate, London, England
St.Giles Cripplegate, London, England
St. Mildred Poultry, London, England
St. Mildred Poultry, London, England
Christ-Church, London, England
Christ-Church, London, England
St. Laurence Pountney, London, England
St. Laurence Pountney, London, England
Precinct of White-Fryars, in the Ward of Farringdon without, London, England
Precinct of White-Fryars, in the Ward of Farringdon without, London, England
Water-lane in White-Fryers, London, England
Water-lane in White-Fryers, London, England
St. Anns Westminster, London, England
St. Anns Westminster, London, England
St. Dunstan at Stepney, London, England
St. Dunstan at Stepney, London, England
St. Michael's Cornhill, London, England
Royal Exchange, London, England
St.Jame's Westminster, London, England
St.Jame's Westminster, London, England
St. Mary White Chappel, London, England
St. Mary White Chappel, London, England
St. Margarets Westminster, London, England
St. Margarets Westminster, London, England
St. Andrews Holbourn, London, England
St. Andrews Holbourn, London, England
St. Margarets Westminster, London, England
St. Margarets Westminster, London, England
St. Botolph without Aldgate, London, England
St. Botolph without Aldgate, London, England
St. Martins in the Fields, London, England
St. Martins in the Fields, London, England
St. Sepulchres, London, England
St. Sepulchres, London, England
St. Clements Danes, London, England
St. Clements Danes, London, England
St. Paul's Covent Garden, London, England
St. Paul's Covent Garden, London, England
Pitchcot near Ailesbury in Buckinghamshire, London, England
Pitchcot near Ailesbury in Buckinghamshire, London, England
Alhallows the Less, London, England
St. James's Clerkenwell, London, England
St. James's Clerkenwell, London, England
St. Giles Cripplegate, London, England
Acton, London, England
Acton, London, England
St. Paul's Covent-Garden, London, England
St. Paul's Covent-Garden, London, England
Stanmore, London, England
Stanmore, London, England
St. James Clerkenwell, London, England
St. James Clerkenwell, London, England
St. Andrews Holbourn, London, England
St. Andrews Holbourn, London, England
St. James Clerkenwell, London, England
St. James Clerkenwell, London, England
Alhallows the Great, London, England
St. Botolphs Aldgate, London, England
Blue Boar Inn, London, England
St. Brides, London, England
Long Hill, London, England
St. Laurence Jewry, London, England
St. Laurence Jewry, London, England
St. Brides, London, England
St. Brides, London, England
Gullty Hole by Fleet Bridge, London, England
Gullty Hole by Fleet Bridge, London, England
St. Brides, London, England
St. Brides, London, England
Christ-Church, London, England
St. Botolph Bishopsgate, London, England
St. Botolph without Aldgate, London, England
St. Botolph without Aldgate, London, England
East-Smithfield, London, England
East-Smithfield, London, England
Houndsditch, London, England
Houndsditch, London, England
Rosemary-Lane, London, England
Rosemary-Lane, London, England
St. Botolph without Aldgate, London, England
St. Botolph without Aldgate, London, England
St. Martins in the Fields, London, England
St. Martins in the Fields, London, England
St. Martins in the Fields, London, England
St. Martins in the Fields, London, England
St. Christophers, London, England
St. Gils's without Cripplegate, London, England
St. Gils's without Cripplegate, London, England
St. James's Westminster, London, England
St. James's Westminster, London, England
St. Mary White Chapel, London, England
St. Mary White Chapel, London, England
White-Lead-House in White Chapel, London, England
White-Lead-House in White Chapel, London, England
St. Martins in the Fields, London, England
St. Martins in the Fields, London, England
St. Anns Westminster, London, England
St. Anns Westminster, London, England
All Hallows Barkin, London, England
St. Andrews Holbourn, London, England
St. Andrews Holbourn, London, England
Warwicks Stables, London, England
Warwicks Stables, London, England
St. Botolph without Aldgate, London, England
St. Botolph without Aldgate, London, England
St. Giles in the Fields, London, England
St. Giles in the Fields, London, England
Alhallows the Less, London, England
Alehouse in Bear Lane, London, England
St. Giles in the Fields, London, England
St. Giles in the Fields, London, England
Royal Oake in Drury Lane, London, England
Royal Oake in Drury Lane, London, England
St. Clements Danes, London, England
St. Clements Danes, London, England
St. Giles's Cripplegate, London, England
St. Giles's Cripplegate, London, England
St. Leonard Shoreditch, London, England
St. Leonard Shoreditch, London, England
St. Sepulchres, London, England
St. Dunstan at Stepney, London, England
St. Dunstan in the West, London, England
St. Margarets Westminster, London, England
St. Dunstan, at Stepney, London, England
St. Dunstan at Stepney, London, England
Northolt, London, England
Church of Northolt, London, England
St. Stephen in Coleman-street, London, England
St. Anns Westminster, London, England
St. Anns Westminster, London, England
St. John at Wapping, London, England
St. John at Wapping, London, England
South Mins, London, England
South Mins, London, England
St. Martin in the Fields, London, England
St. Martin in the Fields, London, England
St. Giles in the Fields, London, England
7 Dials, London, England
St. Faiths, London, England
St. Paul's Church, London, England
St. Giles's Cripplegate, London, England
St.Botolph Aldgate, London, England
St. Andrew Undershaft, London, England
St. Gregory's, London, England
St. Gregory's, London, England
St. Margaret in Lothbury, London, England
St. Margaret in Lothbury, London, England
Christ Church, London, England
Christ Church, London, England
St. Brides, London, England
St. Brides, London, England
Fleet-street, London, England
Fleet-street, London, England
St. Giles in the Fields, London, England
St. Giles in the Fields, London, England
St. Botolph without Aldgate, London, England
Bull-Inn in White Chappel, London, England
St. James's Westminster, London, England
St. James's Westminster, London, England
Burlington Gardens, London, England
Burlington Gardens, London, England
St. Clements Danes, London, England
St. Clements Danes, London, England
Twittenham, London, England
Twittenham, London, England
St. Mary White Chappel, London, England
St. Mary White Chappel, London, England
Hornsey, London, England
Hornsey, London, England
St. Dunstan at Stepney, London, England
St. Dunstan at Stepney, London, England
Monmouth Street in Spittle Fields, London, England
Monmouth Street in Spittle Fields, London, England
St. Faiths, London, England
St. Paul's Church Yard, London, England
St. Dunstan at Stepney, London, England
St. Dunstan at Stepney, London, England
Rolls Liberty, London, England
Rolls Liberty, London, England
St. Mary White Chappel, London, England
St. Mary White Chappel, London, England
St. Andrews Holbourn, London, England
St. Andrews Holbourn, London, England
St. Giles in the Fields, London, England
St. Giles in the Fields, London, England
St. Mary White Chapel, London, England
St. Mary White Chapel, London, England
St. Mary White-Chapel, London, England
Goodmans-Fields, London, England
St. Ann's Westminster, London, England
St. Katharine Coleman, London, England
St. James's Westminster, London, England
St. Sepulchres, London, England
St. Martins in the Fields, London, England
St. Martins in the Fields, London, England
St. Botolph without Aldgate, London, England
St. Mary in White Chappel, London, England
St. Mary in White Chappel, London, England
St. Giles without Cripplegate, London, England
St. Giles without Cripplegate, London, England
St. Giles without Cripplegate, London, England
St. Giles in the Fields, London, England
St. Paul's Covent Garden, London, England
St. Brides, London, England
Bride-Lane in Fleet-Street, London, England
St. Michael's Cornhill, London, England
Finch-Lane, London, England
St. Giles without Cripplegate, London, England
St. Giles without Cripplegate, London, England
St. Sepulcheres, London, England
St. Sepulcheres, London, England
St. Botolph's Billinsgate, London, England
St. Botolph's Billinsgate, London, England
Three Tun Taven at Bilinsgate, London, England
Three Tun Taven at Bilinsgate, London, England
St. Margarets New Fish-street, London, England
St. Margarets New Fish-street, London, England
St. Sepulchres, London, England
St. Sepulchres, London, England
St. Giles's Cripplegate, London, England
St. Giles's Cripplegate, London, England
St. Vedaft alias Foster, London, England
Gutter-Lane, London, England
St Lawrence Pountney, London, England
St. James Dukes Place, London, England
St. James Dukes Place, London, England
St. Katharine Coleman, London, England
St. Katharine Coleman, London, England
St. Margarets Westminster, London, England
St. Margarets Westminster, London, England
St. Dunstan at Stepney, London, England
St. Dunstan at Stepney, London, England
St. Ann Black Fryers, London, England
Stoke Newington, London, England
Stoke Newington, London, England
St. Leonard Shoreditch, London, England
St. Leonard Shoreditch, London, England
St. John at Wapping, London, England
St. John at Wapping, London, England
St. Mary White-Chappel, London, England
St. Mary White-Chappel, London, England
Rag-Fair, London, England
Rag-Fair, London, England
St. Dunstan's in the West, London, England
St. Dunstan's in the West, London, England
Rummer Tavern in Chancery Lane, London, England
Rummer Tavern in Chancery Lane, London, England
St. Giles in the Fields, London, England
St. Giles in the Fields, London, England
St. Clements Danes, London, England
St. Clements Danes, London, England
St. Clements Danes, London, England
St. Clements Danes, London, England
Liberty of Norton Falgate, London, England
Liberty of Norton Falgate, London, England
St. Dunstan's in the West, London, England
Fleet-street, London, England
St. James Garlickhith, London, England
St. Leonard Eastcheap, London, England
St. Dunstan in the East, London, England
St. Dunstan in the East, London, England
St. Peters Cornhill, London, England
St. Peters Cornhill, London, England
St. Michael's Cornhill, London, England
St. Olave's Hart-Street, London, England
St. Olave's Hart-Street, London, England
St. Brides, London, England
St. Brides, London, England
Chelsea, London, England
Chelsea, London, England
St Katharine Coleman, London, England
St. Leonard Shoreditch, London, England
St. Leonard Shoreditch, London, England
Stepney Church, London, England
Stepney Church, London, England
St. Martins in the Fields, London, England
St. Martins in the Fields, London, England
St. Botolph without Aldgate, London, England
St. Botolph without Aldgate, London, England
St. Clements Danes, London, England
St. Clements Danes, London, England
St. Mary White Chapel, London, England
St. Mary White Chapel, London, England
St. Giles in the Fields, London, England
St. Giles in the Fields, London, England
St. Andrew Undershaft, London, England
St. James Westminster, London, England
St. James Westminster, London, England
St. Mary White Chapel, London, England
St. Mary White Chapel, London, England
St. Dunstan at Stepney, London, England
St. Dunstan at Stepney, London, England
St. Mary Abchurch, London, England
St. Clements Danes, London, England
St. Clements Danes, London, England
Fountain Tavern in the Strand, London, England
Fountain Tavern in the Strand, London, England
St. Dunstan at Stepney, London, England
St. Dunstan at Stepney, London, England
St. Paul's Covent-Garden, London, England
St. Paul's Covent-Garden, London, England
St. Mary in the Savoy, London, England
St. Mary in the Savoy, London, England
St. Clements Danes, London, England
St. Clements Danes, London, England
St. Brides, London, England
St. Botolph without Aldersgate, London, England
St. Botolph without Aldersgate, London, England
St. Leonard Shoreditch, London, England
St. Leonard Shoreditch, London, England
St. Giles Cripplegate, London, England
St. Giles Cripplegate, London, England
St. Martins in the Fields, London, England
St. Martins in the Fields, London, England
St. Mary White Chappel, London, England
Parish Church of Wanstead in Essex, London, England
St. Mary in the Savoy, London, England
Somerset Gate, London, England
St. Paul's Covent-Garden, London, England
Covent Garden-Market, London, England
Fulham, London, England
St. Giles in the Fields, London, England
Vine Tavern in Wildstreet, London, England
St. Martin's in the Field, London, England
Stanmore, London, England
St. Giles in the Fields, London, England
Duke of Malborough's-Head in Drury-Lane, London, England
St. Andrews Holbourn, London, England
St. Giles without Cripplegate, London, England
St. Botolph without Aldgate, London, England
St. James Westminster, London, England
St. Giles's in the Fields, London, England
St. James Clerkenwell, London, England
Edminton, London, England
St. Andrews Holbourn, London, England
St. James at Clerkenwell, London, England
White Lyon Inn Yard at Islington, London, England
St. John at Hackney, London, England
Shackelwell, London, England
St. John at Hackney, London, England
St. Mildred in the Poultry, London, England
St. Mary Hill, London, England
St. Giles without Cripplegate, London, England
Livery Stables in Finsbury, London, England
St. James Westminster, London, England
St. James's Park, London, England
St. Clements Danes, London, England
St. Paul's Covent-Garden, London, England
Rose Tavern, Covent-Garden, London, England
St. Margaret in Lothbury, London, England
Lothbury, London, England
